Marca temporal,¿Qué tan claro lo encontró?,Qué tan complicado lo encontró?,¿Qué nota le pondría a la nueva forma de votar?,¿Dentro de qué rango está su edad?,Observado por encuestador/a: Sexo de persona encuestada,
15/12/2019 11:39:23,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 11:39:24,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:39:55,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:39:59,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 11:40:03,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 11:40:15,Muy claro,Nada complicado,6,Entre 41 y 50,Mujer,
15/12/2019 11:40:20,Muy claro,Nada complicado,7,71 o más,Mujer,
15/12/2019 11:40:58,Poco claro,Poco complicado,5,Entre 31 y 40,Mujer,
15/12/2019 11:41:14,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 11:41:41,Muy claro,Nada complicado,6,Entre 31 y 40,Hombre,
15/12/2019 11:41:53,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 11:42:01,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 11:42:19,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 11:43:26,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 11:43:59,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 11:43:59,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 11:44:19,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 11:44:23,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 11:44:33,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 11:44:36,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:44:39,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 11:45:22,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 11:45:41,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 11:45:49,Muy claro,Nada complicado,6,Entre 41 y 50,Mujer,
15/12/2019 11:46:32,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 11:46:33,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 11:46:40,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 11:47:00,Muy claro,Nada complicado,6,Entre 21 y 30,Mujer,
15/12/2019 11:47:22,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 11:47:27,Muy claro,Nada complicado,6,Entre 61 y 70,Hombre,
15/12/2019 11:47:27,Muy claro,Nada complicado,6,Entre 61 y 70,Mujer,
15/12/2019 11:47:37,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 11:47:41,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 11:47:43,Nada claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:48:16,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 11:48:49,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 11:49:02,Muy claro,Poco complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:49:06,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 11:49:18,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 11:49:20,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 11:49:36,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 11:49:43,Muy claro,Nada complicado,6,Entre 31 y 40,Mujer,
15/12/2019 11:50:09,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 11:50:10,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 11:50:53,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:51:01,Muy claro,Poco complicado,7,Entre 61 y 70,Hombre,
15/12/2019 11:51:54,Muy claro,Poco complicado,6,71 o más,Mujer,
15/12/2019 11:51:59,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 11:52:10,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:52:58,Muy claro,Nada complicado,7,71 o más,Mujer,
15/12/2019 11:53:12,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 11:53:21,Muy claro,Nada complicado,7,71 o más,Mujer,
15/12/2019 11:53:27,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 11:53:51,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:53:55,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 11:54:05,Nada claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:54:50,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 11:55:15,Muy claro,Nada complicado,5,Entre 61 y 70,Mujer,
15/12/2019 11:55:21,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 11:55:52,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 11:55:59,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:56:26,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 11:56:27,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:57:04,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:58:03,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 11:59:32,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 12:00:07,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 12:00:16,Muy claro,Nada complicado,6,Entre 31 y 40,Mujer,
15/12/2019 12:00:55,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 12:01:02,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 12:01:34,Muy claro,Nada complicado,6,Entre 61 y 70,Hombre,
15/12/2019 12:02:09,Muy claro,Poco complicado,6,Entre 61 y 70,Mujer,
15/12/2019 12:02:33,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 12:02:36,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 12:02:58,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 12:03:15,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 12:03:32,Muy claro,Nada complicado,6,Entre 31 y 40,Mujer,
15/12/2019 12:03:43,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 12:04:10,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 12:04:16,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 12:04:19,Muy claro,Poco complicado,6,Entre 61 y 70,Mujer,
15/12/2019 12:04:30,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 12:04:44,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 12:05:36,Poco claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 12:06:02,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 12:06:03,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 12:06:13,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 12:06:17,Muy claro,Nada complicado,6,Entre 41 y 50,Hombre,
15/12/2019 12:06:33,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 12:06:46,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 12:07:07,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 12:07:17,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 12:07:54,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
