Timestamp,Local,"Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Acceso y calidad de la educación pública]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Acceso y calidad de la vivienda]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Ampliar el acceso al agua]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Cuidado del medio ambiente y recursos naturales]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Deuda universitaria (CAE y otros)]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Mejorar la calidad de la salud pública y su financiamiento]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Mejorar las pensiones y dignificar la vida de los adultos mayores]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Reducir costos de los servicios básicos (agua, electricidad, etc.)]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Reducir la desigualdad de ingresos]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Reducir la impunidad y la delincuencia]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Transporte público (calidad, acceso y precio)]"
16/12/2019 20:14:53,Bulnes,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Poco imp.,Imp.
16/12/2019 20:14:55,Bulnes,Extremadamente imp.,Muy imp.,Imp.,Imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Imp.,Imp.
16/12/2019 20:15:06,Bulnes,Extremadamente imp.,Muy imp.,Imp.,Muy imp.,Medianamente imp.,Muy imp.,Imp.,Medianamente imp.,Imp.,,Poco imp.
16/12/2019 20:15:07,Bulnes,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 20:15:17,Bulnes,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 20:15:19,Bulnes,Extremadamente imp.,Muy imp.,Imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Imp.,Imp.
16/12/2019 20:15:28,Bulnes,Extremadamente imp.,Muy imp.,Imp.,,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Muy imp.
16/12/2019 20:15:36,Bulnes,Extremadamente imp.,Imp.,Imp.,Extremadamente imp.,Medianamente imp.,Extremadamente imp.,Extremadamente imp.,Medianamente imp.,Extremadamente imp.,Medianamente imp.,Medianamente imp.
16/12/2019 20:15:45,Bulnes,Imp.,Medianamente imp.,Medianamente imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.
16/12/2019 20:15:52,Bulnes,Muy imp.,Extremadamente imp.,Imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 20:16:09,Bulnes,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 20:16:13,Bulnes,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Imp.,Extremadamente imp.,Extremadamente imp.,,Muy imp.,Imp.,Muy imp.
16/12/2019 20:16:25,Bulnes,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 20:16:27,Bulnes,Extremadamente imp.,Extremadamente imp.,Imp.,Imp.,Imp.,Extremadamente imp.,Muy imp.,Medianamente imp.,Imp.,Muy imp.,Medianamente imp.
16/12/2019 20:16:32,Bulnes,Muy imp.,Extremadamente imp.,Muy imp.,Muy imp.,Imp.,Imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Muy imp.,Imp.
16/12/2019 20:16:41,Bulnes,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Imp.
16/12/2019 20:16:43,Bulnes,Extremadamente imp.,,,,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 20:16:55,Bulnes,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 20:16:57,Bulnes,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,,Muy imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Muy imp.,Muy imp.
16/12/2019 20:17:03,Bulnes,Extremadamente imp.,Muy imp.,Imp.,Imp.,Muy imp.,Muy imp.,,Muy imp.,Extremadamente imp.,Extremadamente imp.,Imp.
16/12/2019 20:17:10,Bulnes,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.
16/12/2019 20:17:18,Bulnes,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
